npl	n_kv	ctx	T_PP_s	S_PP_tps	T_TG_s	S_TG_aggr_tps	per_agent_tps	T_total_s	status
1	2304	2304	1.343	1524.52	3.372	75.91	75.91	4.716	OK
2	4608	4608	2.261	1811.50	7.511	68.17	34.09	9.772	OK
4	9216	9216	4.274	1916.83	11.421	89.66	22.41	15.695	OK
8	18432	18432	8.435	1942.41	19.186	106.75	13.34	27.620	OK
16	36864	36864	16.688	1963.62	32.430	126.30	7.89	49.118	OK
24	55296	55296	25.069	1960.67	42.534	144.45	6.02	67.603	OK
32	73728	73728	33.080	1981.14	51.896	157.85	4.93	84.976	OK
40	92160	92160	41.470	1975.38	61.162	167.42	4.19	102.632	OK
48	110592	110592	49.911	1969.59	70.007	175.53	3.66	119.918	OK
56	-	129024	-	-	-	-	-	-	TIMEOUT(thrash)
