depth	agents	c	n_kv	prefill_tps	agg_decode_tps	per_agent_tps	total_s	status
512	1	640	640	873.29	79.33	79.33	2.200	OK
512	48	30720	30720	1911.41	206.73	4.31	42.578	OK
2048	48	104448	104448	1992.86	175.88	3.66	84.260	OK
8192	1	8320	8320	1649.48	55.67	55.67	7.266	OK
8192	28	232960	232960	1732.82	104.77	3.74	166.579	OK
16384	8	132096	132096	1492.29	60.75	7.59	104.690	OK
16384	15	247680	247680	1483.90	65.20	4.35	195.066	OK
32768	6	197376	197376	1154.21	34.40	5.73	192.666	OK
65536	1	65664	65664	788.57	17.86	17.86	90.276	OK
65536	3	196992	196992	787.79	22.33	7.44	266.769	OK
