agents	prompt_n	agg_decode_tps	per_agent_tps	e2e_gen_tps	prefill_tps	batch_wall_s	status
1	2048	78.92	78.92	51.57	1202.04	4.96	OK
2	2048	70.84	35.42	52.87	1189.87	9.68	OK
4	2048	118.78	29.69	79.05	488.6	12.95	OK
8	2048	132.79	16.6	85.09	326.88	24.07	OK
16	2048	132.3	8.27	89.08	267.96	45.98	OK
24	2048	143.65	5.99	96.15	255.42	63.9	OK
32	2048	149.26	4.66	99.31	240.62	82.49	OK
40	2048	153.81	3.85	102.14	232.13	100.25	OK
48	2048	160.59	3.35	105.78	226.28	116.16	OK
56	2048	161.58	2.89	106.67	221.66	134.39	OK
